Month ,Num New Cars,
2009M01,10996,110
2009M02,8793,88
2009M03,7345,73
2009M04,5558,56
2009M05,4840,48
2009M06,4833,48
2009M07,4355,44
2009M08,2422,24
2009M09,2272,23
2009M10,1596,16
2009M11,948,9
2009M12,474, 
2010M01,10469,105
2010M02,11707,117
2010M03,12379,124
2010M04,9599,96
2010M05,8893,89
2010M06,8314,83
2010M07,7018,70
2010M08,5310,53
2010M09,4683,47
2010M10,3742,37
2010M11,2146,21
2010M12,647,6
2011M01,13624,136
2011M02,13470,135
2011M03,12390,124
2011M04,11171,112
2011M05,9359,94
2011M06,9240,92
2011M07,6953,70
2011M08,3653,37
2011M09,2861,29
2011M10,2216,22
2011M11,1398,14
2011M12,597,6
2012M01,14507,145
2012M02,10993,110
2012M03,10581,106
2012M04,9388,94
2012M05,7986,80
2012M06,5481,55
2012M07,6164,62
2012M08,3736,37
2012M09,2783,28
2012M10,2442,24
2012M11,1421,14
2012M12,774,8
2013M01,10735,107
2013M02,9671,97
2013M03,10596,106
2013M04,8113,81
2013M05,7095,71
2013M06,3293,33
2013M07,9306,93
2013M08,4504,45
2013M09,3257,33
2013M10,2832,28
2013M11,1307,13
2013M12,639,6
2014M01,15975,160
2014M02,11906,119
2014M03,11485,115
2014M04,11757,118
2014M05,7767,78
2014M06,3390,34
2014M07,14037,140
2014M08,6201,62
2014M09,4376,44
2014M10,3082,31
2014M11,1465,15
2014M12,920,9
2015M01,20105,201
2015M02,15384,154
2015M03,17054,171
2015M04,13166,132
2015M05,9027,90
2015M06,3924,39
2015M07,21290,213
2015M08,8572,86
2015M09,5924,59
2015M10,3943,39
2015M11,1874,19
2015M12,847,8
2016M01,27106,271
2016M02,21173,212
2016M03,20096,201
2016M04,14847,148
2016M05,10125,101
2016M06,4143,41
2016M07,22462,225
2016M08,9781,98
2016M09,5842,58
2016M10,3831,38
2016M11,1846,18
2016M12,679,7
2017M01,26668,267
2017M02,16905,169
2017M03,17180,172
2017M04,13427,134
2017M05,9581,96
2017M06,3585,36
2017M07,21316,213
2017M08,8105,81
2017M09,4828,48
2017M10,3255,33
2017M11,1594,16
2017M12,601,6
2018M01,25813,258
2018M02,16501,165
2018M03,16088,161
2018M04,11557,116
2018M05,9362,94
2018M06,3716,37
2018M07,20743,207
2018M08,7681,77
2018M09,4397,44
2018M10,2874,29
2018M11,1647,16
